Code,One,Two,Three,Four
H1Var,Vargottam,"He will be happy all his life if lord of Lagna is in Vargottama, in exaltation, in a friendly drekkana, and joined or aspected by good planets.", , 
H1P1,Sun,"The subject will suffer from asthma or lung troubles, if the Sun is in the ascendant aspected by Mars.","Strong moral nature, righteous-minded, ambition and love of power, tends to be well supported by good health and vitality. Cheerfulness and an optimistic temperament help to ensure popularity. It adds respect to the personality and gives lofty motives. ","If with Saturn or Mars, it indicates scars and a hot constitution. The blood becomes impure and there will be itches all over the body. Fevers, inflammations and eye affections may also be anticipated."
H1P2,Mon,,"The native becomes fanciful and romantic, a moderate eater. Considerable restlessness is usually tempered by an easy-going disposition. The fortune is generally changing. It makes one an idealist, a great traveller and explorer. ","If with Saturn, the mind will always be worried. If Mars is with the Moon, it indicates menstrual disorders in the case of women. Sociability tends to be a strong feature. He will be successful in professions that bring him into contact with the masses. The Moon in Lagna with Rahu indicates hysterical tendencies and with Jupiter, the mind is elevated."
H1P3,Mar,He will be wounded in the head if lord of Lagna be Mars or Saturn and the house is occupied or aspected by evil planets. Suffers from wounds and accidents if Mars is in Lagna aspected by the Sun or Saturn.,"This gives a hot constitution, courage, self-confidence and enterprise. The native will possess practical ability and love of liberty and independence. He becomes reckless of danger scorning defeat.  This gives somewhat of a rash nature.","The body will have scars and the appearance will be handsome. The domestic life will be unhappy unless there are other favourable combinations. Abuse of physical resources may lead to ill-health. There is a proneness to accidents. The aspects should be carefully examined. Danger of cuts, burns, etc., are likely."
H1P4,Mer,,"This position makes the subject humorous. Quickness of wit and mental ingenuity tend to be strongly marked. The native becomes well-read, particularly in occult studies. In good aspect to Venus, it makes one musical and talented. Adaptability is a striking feature. Mercury makes the man intellectual. ","If there is a Rahu or Ketu in Lagna, the native suffers a lot of nervous troubles."
H1P5,Jup,If lord of Lagna is strong or Jupiter is in Lagna he will be happy in the beginning.,"A magnetic personality is bestowed on the native. An optimistic spirit, jovial disposition and pleasant manners are indicated. The native will have more sons if the 5th house is not affected. Body will be inclined towards corpulence. Lawyers, professors, writers, theologians, etc., come under this planet.","Self-indulgence especially in regard to gluttony will affect health. If with Rahu, sins will be committed. The man becomes an influential leader. Diseases may result from impure blood."
H1P6,Ven,,"This is a fortunate combination, more so if the ascendant happens to be Capricorn or Aquarius. The native will possess amiability and a cheerful temperament responsive to the emotional side of nature. It gives an appreciation of art. There will be craving for pleasure. Passions will be pronounced. The native will take interest in music, drama and singing. There will be a fondness for scents, flowers, etc. Those born in this sign will be admired by the opposite sex. Generally a good fortune is denoted. Fond of wife or husband, the native will have a magnetic and attractive personality. ","Marriage may take place early. If afflicted, it indicates discord in married life."
H1P7,Sat,"If Saturn is in the ascendant, his things will be stolen or he will be cheated.","Foreign customs will be easily copied and imitated. But, if Saturn is not afflicted, there will be much consideration for the welfare or others. Self-confidence is normally justified. Moral stability will also be marked.","The disposition is calm, grave and serious. The body will be weak and emaciated. Progress in any venture will be slow but certain. There may be some aversion for responsibility. This position of Saturn makes habits inactive. Loss through negligence and lack of opportunity are possible. The same results will be noticed if the ascendant is aspected by Saturn. Misfortunes are likely in the early part of life."
H1P8,Rah,"If the lord of birth is in conjunction with an evil planet and Rahu occupies Lagna, the person has fears from deception. If Rahu, Mars and Saturn occupy the ascendant, the person will have some trouble in his sexual organs.",The health will be generally unsatisfactory calling for treatment other than by medical methods. It inclines one to the occult and the serious wilfulness of nature is well marked. A hypocritical super-consciousness towards others is likely. It makes one appear rather odd and eccentric. This combination is usually bad for marriage. Rahu will generally partake of the characteristics of Saturn.,
H1P9,Ket,,"Psychic powers are likely. It denotes a weak constitution and an emaciated figure. Instability and deceitfulness may influence the character. Morbid imagination, strange appetites, tendency to excitability and wandering disposition become pronouncedly marked. Married life will be unhappy unless there are other favourable configurations.",
